"1","1","チュートリアル","5","1","1","0","100","10001","1301","1","100","1"
"2","1","赤の使者","3","1","0","4","143","10001","1302","1","2","2"
"2","2","炎の灯る廊下","3","1","0","4","153","10001","1302","1","2","3"
"2","3","力を司る者","3","1","0","6","214","10001","1302","1","3","1"
"3","1","青の使者","3","2","0","4","171","10001","1303","1","3","2"
"3","2","水の満ちる舞台","3","2","0","4","183","10001","1303","1","3","3"
"3","3","守りを司る者","3","2","0","6","257","10001","1303","1","4","1"
"4","1","緑の使者","3","3","0","4","205","10001","1304","1","4","2"
"4","2","木漏れ日の差す広間","3","3","0","4","220","10001","1304","1","4","3"
"4","3","癒しを司る者","3","3","0","6","308","10001","1304","1","5","1"
"5","1","大広間を抜けて","5","123","0","5","292","10001","1301","1","5","2"
"5","2","敏捷な獣","5","123","0","5","313","10001","1301","1","5","3"
"5","3","立ちはだかる鬼人","5","123","0","5","376","10001","1301","1","5","4"
"5","4","双剣の番人","5","123","0","8","526","10001","1301","1","6","1"
"6","1","新たなる世界へ","5","12","0","7","421","10001","1401","1","6","2"
"6","2","陽気な獣の巣穴","5","12","0","7","454","10001","1401","1","6","3"
"6","3","水の妖魔","5","12","0","7","500","10001","1401","1","6","4"
"6","4","光差す出口へ","5","12","0","10","625","10001","1401","1","7","1"
"7","1","そよ風の散歩道","5","31","0","7","531","10002","1101","1","7","2"
"7","2","つむじ風の使い","5","31","0","7","574","10002","1101","1","7","3"
"7","3","吹き抜ける突風","5","31","0","7","631","10002","1101","1","7","4"
"7","4","無邪気な舞風","5","31","0","10","789","10002","1101","1","8","1"
"8","1","緑に囲まれた道","5","23","0","7","671","10002","1201","1","8","2"
"8","2","茂みからの気配","5","23","0","7","724","10002","1201","1","8","3"
"8","3","深い森の奥","5","23","0","7","797","10002","1201","1","8","4"
"8","4","森を見守る者","5","23","0","10","996","10002","1201","1","9","1"
"9","1","地下世界への入り口","5","123","0","9","847","10002","1401","1","9","2"
"9","2","妖のねぐら","5","123","0","9","914","10002","1401","1","9","3"
"9","3","砂の睡魔","5","123","0","9","1006","10002","1401","1","9","4"
"9","4","光の届かぬ道の先","5","123","0","10","1157","10002","1401","1","9","5"
"9","5","地底の主","5","123","0","12","1388","10002","1401","1","10","1"
"10","1","暗闇に潜む者","5","123","0","10","1180","10002","1405","1","10","2"
"10","2","狂気の道化師","5","123","0","10","1275","10002","1405","1","10","3"
"10","3","毒の沼を駆けろ","5","123","0","10","1402","10002","1405","1","10","4"
"10","4","満面の笑み","5","123","0","11","1612","10002","1405","1","10","5"
"10","5","小鬼の逆襲","5","123","0","13","1935","10002","1405","1","11","1"
"11","1","逆巻く熱風","5","1","0","12","1741","10002","1402","1","11","2"
"11","2","噴出す溶岩","5","1","0","12","1881","10002","1402","1","11","3"
"11","3","宝の守り手","5","1","0","12","2069","10002","1402","1","11","4"
"11","4","熱をまとう爪","5","1","0","14","2379","10002","1402","1","11","5"
"11","5","炎の丘の魔物","5","1","0","17","2855","10002","1402","1","12","1"
"12","1","水晶の洞窟","5","2","0","12","2141","10002","1403","1","12","2"
"12","2","響き渡る水の音","5","2","0","12","2313","10002","1403","1","12","3"
"12","3","水中に潜む者","5","2","0","12","2544","10002","1403","1","12","4"
"12","4","満ち行く水位","5","2","0","14","2926","10002","1403","1","12","5"
"12","5","海から来た怪異","5","2","0","17","3511","10002","1403","1","13","1"
"13","1","生い茂る草花","5","3","0","12","2633","10002","1404","1","13","2"
"13","2","鬱蒼とした草むら","5","3","0","12","2844","10002","1404","1","13","3"
"13","3","穏やかな視線","5","3","0","12","3128","10002","1404","1","13","4"
"13","4","藪に隠された祠","5","3","0","14","3597","10002","1404","1","13","5"
"13","5","継がれ行く神使","5","3","0","17","4317","10002","1404","1","14","1"
"14","1","生命樹に向かって","5","123","0","14","3454","10002","1101","1","14","2"
"14","2","衝撃の戦い","5","123","0","14","3730","10002","1101","1","14","3"
"14","3","手がかりを求めて","5","123","0","14","4103","10002","1101","1","14","4"
"14","4","分岐点","5","123","0","17","4718","10002","1101","1","15","1"
"15","1","谷の入口","5","123","0","14","4129","10001","1103","1","15","2"
"15","2","幻獣たち","5","123","0","14","4459","10001","1201","1","15","3"
"15","3","視線","5","123","0","14","4816","10001","1201","1","15","4"
"15","4","試練の戦い","5","123","0","16","5297","10001","1201","1","15","5"
"15","5","新たなる真実","5","123","0","19","5827","10001","1201","1","16","1"
"16","1","戦士を求めて","5","123","0","16","4953","10001","1402","1","16","2"
"16","2","戦士の世界","5","123","0","16","5349","10001","1402","1","16","3"
"16","3","仲間と共に","5","123","0","16","5884","10001","1402","1","16","4"
"16","4","戦いの果てに","5","123","0","19","6767","10001","1402","1","16","5"
"16","5","戦士の宴","5","123","0","22","8120","10001","1402","1","17","1"
"17","1","あやかしとは？","5","123","0","16","6090","10001","1403","1","17","2"
"17","2","幻影の世界","5","123","0","16","6577","10001","1403","1","17","3"
"17","3","嘘と真実","5","123","0","16","7235","10001","1403","1","17","4"
"17","4","あやかしと共に","5","123","0","19","8321","10001","1403","1","17","5"
"17","5","あやかしの願い","5","123","0","22","9985","10001","1403","1","18","1"
"18","1","妖精はどこへ","5","123","0","16","7488","10001","1404","1","18","2"
"18","2","夢の世界","5","123","0","16","8088","10001","1404","1","18","3"
"18","3","夢か幻か","5","123","0","16","8896","10001","1404","1","18","4"
"18","4","妖精を求めて","5","123","0","19","10231","10001","1404","1","18","5"
"18","5","新たな手がかり","5","123","0","22","12277","10001","1404","1","19","1"
