"1","1","チュートリアル","5","1","1","0","100","10001","1301","1","100","1","2016-06-01 00:00:00","3000-06-01 00:00:00"
"2","1","赤の使者","3","1","0","4","320","10001","1302","1","2","2","2016-06-01 00:00:00","3000-06-01 00:00:00"
"2","2","炎の灯る廊下","3","1","0","4","320","10001","1302","1","2","3","2016-06-01 00:00:00","3000-06-01 00:00:00"
"2","3","力を司る者","3","1","0","6","720","10001","1302","1","3","1","2016-06-01 00:00:00","3000-06-01 00:00:00"
"3","1","青の使者","3","2","0","4","320","10001","1303","1","3","2","2016-06-01 00:00:00","3000-06-01 00:00:00"
"3","2","水の満ちる舞台","3","2","0","4","320","10001","1303","1","3","3","2016-06-01 00:00:00","3000-06-01 00:00:00"
"3","3","守りを司る者","3","2","0","6","720","10001","1303","1","4","1","2016-06-01 00:00:00","3000-06-01 00:00:00"
"4","1","緑の使者","3","3","0","4","320","10001","1304","1","4","2","2016-06-01 00:00:00","3000-06-01 00:00:00"
"4","2","木漏れ日の差す広間","3","3","0","4","320","10001","1304","1","4","3","2016-06-01 00:00:00","3000-06-01 00:00:00"
"4","3","癒しを司る者","3","3","0","6","720","10001","1304","1","5","1","2016-06-01 00:00:00","3000-06-01 00:00:00"
"5","1","大広間を抜けて","5","123","0","5","500","10001","1301","1","5","2","2016-06-01 00:00:00","3000-06-01 00:00:00"
"5","2","敏捷な獣","5","123","0","5","500","10001","1301","1","5","3","2016-06-01 00:00:00","3000-06-01 00:00:00"
"5","3","立ちはだかる鬼人","5","123","0","5","500","10001","1301","1","5","4","2016-06-01 00:00:00","3000-06-01 00:00:00"
"5","4","双剣の番人","5","123","0","8","1280","10001","1301","1","6","1","2016-06-01 00:00:00","3000-06-01 00:00:00"
"6","1","新たなる世界へ","5","12","0","7","980","10001","1401","1","6","2","2016-06-01 00:00:00","3000-06-01 00:00:00"
"6","2","陽気な獣の巣穴","5","12","0","7","980","10001","1401","1","6","3","2016-06-01 00:00:00","3000-06-01 00:00:00"
"6","3","水の妖魔","5","12","0","7","980","10001","1401","1","6","4","2016-06-01 00:00:00","3000-06-01 00:00:00"
"6","4","光差す出口へ","5","12","0","10","2000","10001","1401","1","7","1","2016-06-01 00:00:00","3000-06-01 00:00:00"
"7","1","そよ風の散歩道","5","31","0","7","980","10002","1101","1","7","2","2016-06-01 00:00:00","3000-06-01 00:00:00"
"7","2","つむじ風の使い","5","31","0","7","980","10002","1101","1","7","3","2016-06-01 00:00:00","3000-06-01 00:00:00"
"7","3","吹き抜ける突風","5","31","0","7","980","10002","1101","1","7","4","2016-06-01 00:00:00","3000-06-01 00:00:00"
"7","4","無邪気な舞風","5","31","0","10","2000","10002","1101","1","8","1","2016-06-01 00:00:00","3000-06-01 00:00:00"
"8","1","緑に囲まれた道","5","23","0","7","980","10002","1201","1","8","2","2016-06-01 00:00:00","3000-06-01 00:00:00"
"8","2","茂みからの気配","5","23","0","7","980","10002","1201","1","8","3","2016-06-01 00:00:00","3000-06-01 00:00:00"
"8","3","深い森の奥","5","23","0","7","980","10002","1201","1","8","4","2016-06-01 00:00:00","3000-06-01 00:00:00"
"8","4","森を見守る者","5","23","0","10","2000","10002","1201","1","9","1","2016-06-01 00:00:00","3000-06-01 00:00:00"
"9","1","地下世界への入り口","5","123","0","9","1620","10002","1401","1","9","2","2016-06-01 00:00:00","3000-06-01 00:00:00"
"9","2","妖のねぐら","5","123","0","9","1620","10002","1401","1","9","3","2016-06-01 00:00:00","3000-06-01 00:00:00"
"9","3","砂の睡魔","5","123","0","9","1620","10002","1401","1","9","4","2016-06-01 00:00:00","3000-06-01 00:00:00"
