"1","初心者の扉","1","0","0","0","0","0","0","2015-01-01 00:00:00","3000-12-31 23:59:59"
"2","火の館","1","0","0","0","0","0","0","2015-01-01 00:00:00","3000-12-31 23:59:59"
"3","水の館","1","0","0","0","0","0","0","2015-01-01 00:00:00","3000-12-31 23:59:59"
"4","風の館","1","0","0","0","0","0","0","2015-01-01 00:00:00","3000-12-31 23:59:59"
"5","冒険者の試練","1","0","0","0","0","0","0","2015-01-01 00:00:00","3000-12-31 23:59:59"
"6","旅立ちの洞窟","1","0","0","0","0","0","0","2015-01-01 00:00:00","3000-12-31 23:59:59"
"7","風渡る平原","1","0","0","0","0","0","0","2015-01-01 00:00:00","3000-12-31 23:59:59"
"8","栄えの森","1","0","0","0","0","0","0","2015-01-01 00:00:00","3000-12-31 23:59:59"
"9","地底を抜ける道","1","0","0","0","0","0","0","2015-01-01 00:00:00","3000-12-31 23:59:59"
"10","怪しの沼","1","0","0","0","0","0","0","2015-01-01 00:00:00","3000-12-31 23:59:59"
"11","燃えさかる大地","1","0","0","0","0","0","0","2015-01-01 00:00:00","3000-12-31 23:59:59"
"12","輝きの水路","1","0","0","0","0","0","0","2015-01-01 00:00:00","3000-12-31 23:59:59"
"13","陽だまりの洞穴","1","0","0","0","0","0","0","2015-01-01 00:00:00","3000-12-31 23:59:59"
"14","分岐点","1","0","0","0","0","0","0","2015-12-01 00:00:00","3000-12-31 23:59:59"
"15","幻獣の谷","1","0","0","0","0","0","0","2015-12-01 00:00:00","3000-12-31 23:59:59"
"16","戦士たちの宴","1","0","0","0","0","0","0","2015-12-01 00:00:00","3000-12-31 23:59:59"
"17","あやかしの世界へ","1","0","0","0","0","0","0","2015-12-01 00:00:00","3000-12-31 23:59:59"
"18","妖精達との出会い","1","0","0","0","0","0","1","2015-12-01 00:00:00","3000-12-31 23:59:59"
"19","獣人の山へ","1","0","0","0","0","0","1","2015-12-01 00:00:00","3000-12-31 23:59:59"
"20","魔の洞窟","1","0","0","0","0","0","1","2015-12-01 00:00:00","3000-12-31 23:59:59"
"21","メルヘンの世界へ","1","0","0","0","0","0","1","2015-12-01 00:00:00","3000-12-31 23:59:59"
